Lang_Select.keys,Lang_Select.rt,welcomeResp.keys,welcomeResp.rt,choice.keys,choice.rt,responseRepeat.keys,responseRepeat.rt,t1,t2,sequence,Status,Step56,Step40,time_durations.thisRepN,time_durations.thisTrialN,time_durations.thisN,time_durations.thisIndex,time_durations.ran,Email,date,expName,psychopyVersion,OS,frameRate,MeanSeq1,MeanSeq2,MeanBoth,NewTime1_start,NewTime1_end,NewTime2_start,NewTime2_end,key_resp.keys,key_resp.rt,SecondPhase.thisRepN,SecondPhase.thisTrialN,SecondPhase.thisN,SecondPhase.thisIndex,SecondPhase.ran
2,1.702,space,0.583,2,0.307,space,0.508,4,5.6,40,up,0,0,0,0,0,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,1.92,space,0.662,4.4,5.2,40,up,0,0,1,0,1,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,2.289,space,0.839,4,5.6,40,down,0,1,2,0,2,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,2.265,space,0.381,4.4,5.2,40,up,0,2,3,0,3,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.427,space,0.71,5.6,4,56,down,0,3,4,0,4,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,2.896,space,0.509,4,5.6,40,down,1,3,5,0,5,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,0.721,space,0.594,6,3.6,56,up,1,4,6,0,6,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.685,space,0.564,4.4,5.2,40,up,2,4,7,0,7,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.355,space,0.746,5.6,4,56,down,2,4,8,0,8,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,1.37,space,0.794,6,3.6,56,up,3,4,9,0,9,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.082,space,0.698,5.6,4,56,down,4,4,10,0,10,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,2.002,space,7.45,4.8,4.8,40,up,5,4,11,0,11,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,1.474,space,0.66,6,3.6,56,up,5,4,12,0,12,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,3.201,space,0.807,5.2,4.4,40,up,6,4,13,0,13,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,8.938,space,0.66,5.6,4,40,up,6,4,14,0,14,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,3.5,space,0.704,5.2,4.4,40,down,6,5,15,0,15,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,5.733333333,5.066666667,5.4,6.2,4.6,3.4,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,space,4.526,0,0,0,0,1
,,,,1,4.469,space,1.148,3.4,5,40,up,0,0,0,0,0,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,8.41,space,1.282,3,5.4,40,down,0,1,1,0,1,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.452,space,0.793,2.6,5.8,40,down,0,1,2,0,2,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,2.824,space,0.991,6.2,4.6,56,down,0,2,3,0,3,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.633,space,0.86,3,5.4,40,up,0,2,4,0,4,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,7.249,space,0.962,3.4,5,40,up,0,2,5,0,5,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,5.951,space,0.816,5.8,5,56,down,0,3,6,0,6,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,3.369,space,1.607,3,5.4,40,down,1,3,7,0,7,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,0.819,space,0.947,6.2,4.6,56,up,1,4,8,0,8,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,1.172,space,1.126,3.4,5,40,up,2,4,9,0,9,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.747,space,0.605,3,5.4,40,down,2,5,10,0,10,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,0.775,space,0.575,5.8,5,56,down,2,6,11,0,11,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,0.505,space,0.673,5.4,5.4,56,down,2,6,12,0,12,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,0.697,space,0.262,5.8,5,56,up,3,6,13,0,13,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.535,space,0.523,5.4,5.4,56,down,4,6,14,0,14,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,2.111,space,0.288,5.8,5,56,up,5,6,15,0,15,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,2,1.263,space,0.386,6.2,4.6,56,up,5,6,16,0,16,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,,,,,,,
,,,,1,0.634,space,0.338,6.6,4.2,56,up,5,6,17,0,17,0,1,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,5.8,3.266666667,4.533333333,5.333333333,3.733333333,4.266666667,5.866666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,2021-03-25_00h28.23.644,time_perception_2Phases_ENRU,2021.2,Linux x86_64,60,,,,,,,,space,44.889,1,0,1,0,1
